Datum,Schifffahrt
2015-09-09,583529
2015-09-10,583529
2015-09-11,583529
2015-09-12,583529
2015-09-13,583529
2015-09-14,583529
2015-09-15,583529
2015-09-16,583529
2015-09-17,583529
2015-09-18,583529
2015-09-19,583529
2015-09-20,583529
2015-09-21,583529
2015-09-22,583529
2015-09-23,583529
2015-09-24,583529
2015-09-25,583529
2015-09-26,583529
2015-09-27,583529
2015-09-28,583529
2015-09-29,583529
2015-09-30,583529
2015-10-01,573696
2015-10-02,573696
2015-10-03,573696
2015-10-04,573696
2015-10-05,573696
2015-10-06,573696
2015-10-07,573696
2015-10-08,573696
2015-10-09,573696
2015-10-10,573696
2015-10-11,573696
2015-10-12,573696
2015-10-13,573696
2015-10-14,573696
2015-10-15,573696
2015-10-16,573696
2015-10-17,573696
2015-10-18,573696
2015-10-19,573696
2015-10-20,573696
2015-10-21,573696
2015-10-22,573696
2015-10-23,573696
2015-10-24,573696
2015-10-25,573696
2015-10-26,573696
2015-10-27,573696
2015-10-28,573696
2015-10-29,573696
2015-10-30,573696
2015-10-31,573696
2015-11-01,347714
2015-11-02,347714
2015-11-03,347714
2015-11-04,347714
2015-11-05,347714
2015-11-06,347714
2015-11-07,347714
2015-11-08,347714
2015-11-09,347714
2015-11-10,347714
2015-11-11,347714
2015-11-12,347714
2015-11-13,347714
2015-11-14,347714
2015-11-15,347714
2015-11-16,347714
2015-11-17,347714
2015-11-18,347714
2015-11-19,347714
2015-11-20,347714
2015-11-21,347714
2015-11-22,347714
2015-11-23,347714
2015-11-24,347714
2015-11-25,347714
2015-11-26,347714
2015-11-27,347714
2015-11-28,347714
2015-11-29,347714
2015-11-30,347714
2015-12-01,359029
2015-12-02,359029
2015-12-03,359029
2015-12-04,359029
2015-12-05,359029
2015-12-06,359029
2015-12-07,359029
2015-12-08,359029
2015-12-09,359029
2015-12-10,359029
2015-12-11,359029
2015-12-12,359029
2015-12-13,359029
2015-12-14,359029
2015-12-15,359029
2015-12-16,359029
2015-12-17,359029
2015-12-18,359029
2015-12-19,359029
2015-12-20,359029
2015-12-21,359029
2015-12-22,359029
2015-12-23,359029
2015-12-24,359029
2015-12-25,359029
2015-12-26,359029
2015-12-27,359029
2015-12-28,359029
2015-12-29,359029
2015-12-30,359029
2015-12-31,359029
2016-01-01,290027
2016-01-02,290027
2016-01-03,290027
2016-01-04,290027
2016-01-05,290027
2016-01-06,290027
2016-01-07,290027
2016-01-08,290027
2016-01-09,290027
2016-01-10,290027
2016-01-11,290027
2016-01-12,290027
2016-01-13,290027
2016-01-14,290027
2016-01-15,290027
2016-01-16,290027
2016-01-17,290027
2016-01-18,290027
2016-01-19,290027
2016-01-20,290027
2016-01-21,290027
2016-01-22,290027
2016-01-23,290027
2016-01-24,290027
2016-01-25,290027
2016-01-26,290027
2016-01-27,290027
2016-01-28,290027
2016-01-29,290027
2016-01-30,290027
2016-01-31,290027
2016-02-01,318608
2016-02-02,318608
2016-02-03,318608
2016-02-04,318608
2016-02-05,318608
2016-02-06,318608
2016-02-07,318608
2016-02-08,318608
2016-02-09,318608
2016-02-10,318608
2016-02-11,318608
2016-02-12,318608
2016-02-13,318608
2016-02-14,318608
2016-02-15,318608
2016-02-16,318608
2016-02-17,318608
2016-02-18,318608
2016-02-19,318608
2016-02-20,318608
2016-02-21,318608
2016-02-22,318608
2016-02-23,318608
2016-02-24,318608
2016-02-25,318608
2016-02-26,318608
2016-02-27,318608
2016-02-28,318608
2016-02-29,318608
2016-03-01,440950
2016-03-02,440950
2016-03-03,440950
2016-03-04,440950
2016-03-05,440950
2016-03-06,440950
2016-03-07,440950
2016-03-08,440950
2016-03-09,440950
2016-03-10,440950
2016-03-11,440950
2016-03-12,440950
2016-03-13,440950
2016-03-14,440950
2016-03-15,440950
2016-03-16,440950
2016-03-17,440950
2016-03-18,440950
2016-03-19,440950
2016-03-20,440950
2016-03-21,440950
2016-03-22,440950
2016-03-23,440950
2016-03-24,440950
2016-03-25,440950
2016-03-26,440950
2016-03-27,440950
2016-03-28,440950
2016-03-29,440950
2016-03-30,440950
2016-03-31,440950
2016-04-01,474495
2016-04-02,474495
2016-04-03,474495
2016-04-04,474495
2016-04-05,474495
2016-04-06,474495
2016-04-07,474495
2016-04-08,474495
2016-04-09,474495
2016-04-10,474495
2016-04-11,474495
2016-04-12,474495
2016-04-13,474495
2016-04-14,474495
2016-04-15,474495
2016-04-16,474495
2016-04-17,474495
2016-04-18,474495
2016-04-19,474495
2016-04-20,474495
2016-04-21,474495
2016-04-22,474495
2016-04-23,474495
2016-04-24,474495
2016-04-25,474495
2016-04-26,474495
2016-04-27,474495
2016-04-28,474495
2016-04-29,474495
2016-04-30,474495
2016-05-01,757526
2016-05-02,757526
2016-05-03,757526
2016-05-04,757526
2016-05-05,757526
2016-05-06,757526
2016-05-07,757526
2016-05-08,757526
2016-05-09,757526
2016-05-10,757526
2016-05-11,757526
2016-05-12,757526
2016-05-13,757526
2016-05-14,757526
2016-05-15,757526
2016-05-16,757526
2016-05-17,757526
2016-05-18,757526
2016-05-19,757526
2016-05-20,757526
2016-05-21,757526
2016-05-22,757526
2016-05-23,757526
2016-05-24,757526
2016-05-25,757526
2016-05-26,757526
2016-05-27,757526
2016-05-28,757526
2016-05-29,757526
2016-05-30,757526
2016-05-31,757526
2016-06-01,719525
2016-06-02,719525
2016-06-03,719525
2016-06-04,719525
2016-06-05,719525
2016-06-06,719525
2016-06-07,719525
2016-06-08,719525
2016-06-09,719525
2016-06-10,719525
2016-06-11,719525
2016-06-12,719525
2016-06-13,719525
2016-06-14,719525
2016-06-15,719525
2016-06-16,719525
2016-06-17,719525
2016-06-18,719525
2016-06-19,719525
2016-06-20,719525
2016-06-21,719525
2016-06-22,719525
2016-06-23,719525
2016-06-24,719525
2016-06-25,719525
2016-06-26,719525
2016-06-27,719525
2016-06-28,719525
2016-06-29,719525
2016-06-30,719525
2016-07-01,1178874
2016-07-02,1178874
2016-07-03,1178874
2016-07-04,1178874
2016-07-05,1178874
2016-07-06,1178874
2016-07-07,1178874
2016-07-08,1178874
2016-07-09,1178874
2016-07-10,1178874
2016-07-11,1178874
2016-07-12,1178874
2016-07-13,1178874
2016-07-14,1178874
2016-07-15,1178874
2016-07-16,1178874
2016-07-17,1178874
2016-07-18,1178874
2016-07-19,1178874
2016-07-20,1178874
2016-07-21,1178874
2016-07-22,1178874
2016-07-23,1178874
2016-07-24,1178874
2016-07-25,1178874
2016-07-26,1178874
2016-07-27,1178874
2016-07-28,1178874
2016-07-29,1178874
2016-07-30,1178874
2016-07-31,1178874
2016-08-01,1062021
2016-08-02,1062021
2016-08-03,1062021
2016-08-04,1062021
2016-08-05,1062021
2016-08-06,1062021
2016-08-07,1062021
2016-08-08,1062021
2016-08-09,1062021
2016-08-10,1062021
2016-08-11,1062021
2016-08-12,1062021
2016-08-13,1062021
2016-08-14,1062021
2016-08-15,1062021
2016-08-16,1062021
2016-08-17,1062021
2016-08-18,1062021
2016-08-19,1062021
2016-08-20,1062021
2016-08-21,1062021
2016-08-22,1062021
2016-08-23,1062021
2016-08-24,1062021
2016-08-25,1062021
2016-08-26,1062021
2016-08-27,1062021
2016-08-28,1062021
2016-08-29,1062021
